Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount
Jennifer Morales,kristinweaver@example.com,Germany,1,50,182684.9,34645.13,533626.81,114700.15
Michael Wilson,hicksjon@example.net,Brazil,1,28,128744.67,11697.48,382719.01,89977.28
Jennifer Fisher,brandikelly@example.com,Mexico,1,67,97718.24,24879.3,431573.4,80864.04
Nancy Jones,jenna87@example.org,Germany,0,46,31946.46,15920.06,237228.3,31644.04
James Harrison,brettkelly@example.com,Brazil,0,51,179833.56,31473.51,543475.62,121602.13
Suzanne Dunlap,leslie70@example.org,India,0,64,76639.09,30925.53,406293.2,63440.47
William Clark,deborah35@example.com,United States,0,63,147383.66,36709.18,406815.32,94306.21
Alicia Black,toddperez@example.com,Germany,0,20,51050.16,21459.53,321076.35,51158.34
Jodi Montgomery,ryanolsen@example.net,France,1,43,105594.26,35959.73,647720.07,103125.49
Vanessa Meadows,lpowell@example.com,United Kingdom,0,30,23581.95,26723.55,166693.3,23145.57
Angela Becker,jackthornton@example.net,Brazil,1,51,23903.31,28046.86,961092.73,100222.36
Brandon Sandoval,evansdaniel@example.org,Germany,0,66,175696.51,42385.13,885323.65,147967.58
Kimberly May,connieperez@example.org,Mexico,1,50,60372.99,40154.15,136680.85,33964.5
Jason Williams,willie39@example.org,Mexico,0,38,26717.01,33570.95,419170.9,47016.61
Richard Nash,josephstone@example.org,Australia,0,65,116841.2,22025.11,139626.19,58845.98
Richard Stevens,zdavis@example.com,Germany,0,68,75704.82,11880.59,461071.2,72002.47
Bradley Hill,michelle18@example.com,United Kingdom,0,19,47787.9,2240.44,547064.82,77370.14
Crystal Smith,twalls@example.net,Mexico,0,56,130522.24,17039.47,174102.85,66171.22
Carl Garcia,mataamber@example.org,Japan,0,51,167252.22,3050.8,914970.8,157941.7
Marie Cooper,lunaheather@example.net,Australia,0,37,137794.58,15374.9,409834.29,92011.63
Theresa Melendez,jason90@example.org,France,0,45,104816.65,30970.48,228587,58738.76
Andre James,mooneydana@example.com,Australia,1,18,56619.18,9429.14,505942.79,69343.94
Tyler Knight,deniseatkinson@example.com,United Kingdom,1,46,159213.83,38311.01,654334.38,121218.33
Craig Smith,shelby79@example.net,United Kingdom,1,41,113678.19,10601.35,738726.17,122124.29
Bridget Cooper,mcguiresheena@example.com,Brazil,1,42,147001.41,42555.58,324212.93,81105.41
Gregory Downs,joyce16@example.com,Mexico,1,33,23050.78,9079.02,871715.45,93452.61
Cameron Garza,pjohnson@example.com,Germany,0,31,83543.22,25371.7,958444.76,125062.61
Andrew Goodman,wuangela@example.org,Germany,0,50,134163.9,27206.61,192373.11,69439.87
Christopher Waters,allisonrichards@example.com,Canada,0,43,145925.3,20270.92,16013.04,58334.14
Daniel Mcmahon,ywebb@example.com,Australia,1,63,91586.03,18575.94,671802.71,101553.8
Steven Palmer,martinrebekah@example.net,France,0,40,79524.08,35268.38,949975.3,114865.18
Julie Ramirez,lawrencelee@example.org,France,0,52,158020.68,47086.18,600652.41,111034.53
Ronald Bates,dawn41@example.net,Japan,0,36,129630.53,11176.02,992224.15,153529.95
John Brown,keithwilliams@example.org,India,0,59,174452.36,44180.61,309414.43,96521.81
Andrew Carpenter,bleonard@example.com,United Kingdom,1,28,116097.87,46570.49,128155.16,51846.57
Brad Johnston,jhill@example.net,Canada,1,28,100968.86,33244.27,769503.92,109262.67
Amanda Christensen,ewilliams@example.org,Japan,0,43,116460.01,9585.41,307577.1,74273.04
Fred Alexander,zhayes@example.com,Germany,0,32,108735.73,45486.26,368023.46,70884.55
David Ray,gilbertcarrillo@example.com,Germany,1,42,165297.59,34930.14,379302.99,99989.25
Jeremy Ruiz,darrenwillis@example.net,Germany,1,26,55212.75,35415.13,161615.41,34967.61
Heather Wilson,jennifer54@example.org,Germany,1,33,20776.72,43324.42,100210.92,6390.68
Matthew Moore,zimmermanmichelle@example.com,United Kingdom,1,43,150506.43,13277.96,246946.28,82626.7
Mary Obrien,joshuasherman@example.net,Canada,1,19,45078.33,36064.48,724101.22,85010.91
Megan Irwin,jose61@example.net,France,0,56,87727.98,49752.65,883008.88,108653.43
Robert Kim,michaelwilliams@example.org,United Kingdom,1,21,190468.7,5842.84,506737.82,122400.51
Jerry Rogers,matthew50@example.org,United States,1,50,151513.2,46829.69,416510.79,92247.76
Renee Goodwin,tracy02@example.org,India,0,24,88733.98,11060.05,805562.99,118358.52
Kyle Webb,williamcook@example.com,Mexico,0,37,176606.23,21012.27,30908.53,72551.14
Michael Becker,sandersalexander@example.org,United States,1,29,170643.17,35586.69,368087.13,95812.99
Scott Robertson,salazarmatthew@example.net,United States,0,36,145692.11,20095.99,27902.93,55735.69
Adam Hernandez,thomaswilliam@example.org,Canada,0,53,197206.44,47581.02,95983.96,74389.23
Russell Tate,curtis28@example.net,Brazil,1,22,99891.39,15485.79,684572.58,106642.09
John Lewis,michele95@example.net,United Kingdom,1,55,168295.14,46004.58,55572.2,64942.78
Dr. Kylie Reynolds,whall@example.com,India,0,67,185020.06,14508.08,953269.09,161990.2
Keith Morton Jr.,snyderrobin@example.net,France,0,53,95835.61,11365.4,190815.18,50873.74
Gregory Ruiz,samantha70@example.org,United Kingdom,0,25,113068.84,34826.57,757928.88,112946.44
Theresa Cunningham,melissamiller@example.com,Japan,1,49,24574.01,3310.64,151104.06,28176.53
Michael Miller,nathaniel94@example.net,Japan,1,51,121756.88,43924.63,769148.4,114191.08
Robin Burgess,wross@example.org,Germany,1,48,37371.43,47422.54,381084.69,44069.85
Dennis Carroll,kevinlee@example.com,Brazil,1,53,139287.63,5136.7,284574.18,85535.55
Patrick Aguilar,codygrant@example.org,United Kingdom,0,55,196899.57,29790.97,870347.71,156589.22
Frank Villarreal,kristengibbs@example.net,Australia,0,55,67428.35,20213.85,739454.82,95381
Kevin Davidson,carolyn11@example.org,United States,0,42,63519.58,27420.56,284151.98,43878.06
Jessica Patton,bobbyhill@example.org,Germany,0,33,158267.63,38652.85,459891.14,98108.51
Carol Chandler,bakersuzanne@example.net,Brazil,0,70,25071.57,4497.8,813358.48,93069.31
Brian Luna,alyssastevens@example.com,United States,0,69,161450.46,33038.91,761499.51,130329.56
Richard Bell,ewilson@example.net,United States,0,70,121940.58,504.92,615739.33,108802.1
Sherry Parks,vpoole@example.com,Brazil,0,50,134603.14,46204.57,482100.55,97007.22
Rhonda Williams,reneewolfe@example.org,Australia,0,55,143173.93,46420.87,922750.99,137036.69
Mary James,kaitlingray@example.net,Germany,0,22,146666.97,33908.81,557605.8,104944.97
Eric Thompson,jasonmorgan@example.net,Mexico,0,36,41794.34,20439.53,459731.26,54413.58
Beth Smith,uvalenzuela@example.net,Brazil,0,33,68991.96,39231.16,727067.52,90808.34
Erica Clark,candace49@example.org,Canada,1,53,48996.66,44359.01,966859.73,107724.03
Jonathan Parker,choijody@example.com,Brazil,1,27,151718.16,40066.62,79021.2,57122.07
Daniel Roy,eriklarson@example.org,Japan,1,68,114301.98,2341.39,664297.22,114533.34
Grant Tyler,agrant@example.net,Brazil,1,48,137261.71,2763.3,739860.72,130737.83
Rachel Jones,allenbreanna@example.com,United States,1,69,130553.86,48404.32,273733.92,71288.74
Michael Brown,wongkimberly@example.net,Germany,1,27,171226.52,14653.52,104093.1,75177.45
Shawn Reyes,smithsean@example.com,Japan,1,51,187986.89,8732.4,91757.56,85021.39
Stephanie Marsh,oriley@example.com,India,0,54,118139.11,25945.39,468394.44,91641.7
Samantha Monroe,bobbywalters@example.org,Canada,1,31,26991.7,6375.51,508861.86,61126.66
Justin Bond,terrelldeborah@example.org,Mexico,0,41,195502.93,2733.48,363199.91,112582.51
Darren Shaw,hudsondanny@example.net,Mexico,1,45,177270.24,4543.89,706491.85,145420.48
James Skinner,elizabethpatel@example.org,Brazil,0,28,21947.68,29078.29,811072.75,86716.24
Dr. Randy Ortiz,jodi60@example.com,Mexico,0,37,126334.91,40462.18,179531.39,61743.5
Cynthia Lloyd,luismoore@example.com,United Kingdom,1,47,77566.59,42051.74,261373.71,46386.54
Patrick Rodriguez,edward32@example.com,Australia,1,24,79113.95,10230.36,175890.35,46064.39
Brenda Richardson,rickydixon@example.net,France,0,70,48572.76,45400.61,874212.35,98835.31
Howard Alvarez,kyle58@example.com,Australia,0,40,38114.6,14660.44,496634.02,57617.27
Nicole Garner,christopher00@example.net,Canada,0,24,115507.08,20651.63,214000.14,59000.28
Juan Huff,pbrandt@example.org,Australia,1,66,137446.55,45972.92,308281.76,75990.64
Peggy Duncan,abryant@example.org,Australia,0,22,55138.08,1909.43,742493.53,99849.47
Jay Phillips,hnelson@example.net,Canada,1,37,187051.45,3366.86,813360.54,156018.72
Daniel Johnson,melissa44@example.org,Germany,1,67,134820.72,5890.59,909182.16,140374.37
Christy Tyler,wagnerdeborah@example.net,United States,0,21,105404.22,43190.15,204765.98,51222.61
Christopher Everett,kboyd@example.com,Japan,1,47,189575.97,8986.26,343277.79,103929.63
Kyle Lamb,zpittman@example.com,Germany,0,65,183604.69,13376.09,521396.72,124177.32
Alexandria Melton,tracy55@example.net,Canada,0,51,77149.34,43965.87,705874.07,89302.88
Stacey Castillo,pearsonchelsea@example.net,United States,1,61,30768.99,5556.5,322373.87,44617.31
Roy Richard,jgraves@example.org,India,0,31,25115.91,44822.67,126588.53,13352.73
Taylor Schmitt,pierceyvette@example.com,Mexico,1,60,180243.53,40820.04,852951.59,153380.97
Amanda Knight,kochelizabeth@example.org,Australia,1,61,79778.65,5942.12,221582.96,52903.34
Jessica Miller,martindiana@example.net,United States,0,59,98761.77,22200.72,842055.09,123465.21
Andrea Reed,odonnellmelissa@example.com,Japan,1,42,139314.13,6572.8,330398.56,88891.2
Dr. Alexis Collins,wrightaaron@example.net,Australia,1,58,97004.33,30750.31,243803.9,61870.34
Eric Gilbert,yzamora@example.net,United Kingdom,1,59,196460.49,40096.09,630788.98,130655.01
Mr. Christopher Barnes,lindsay25@example.net,Germany,0,23,78131.78,42514.29,572356.23,79092.17
Michael Ibarra,oscarstephens@example.org,India,0,45,60437.74,1911.99,703969.44,94256.53
Mathew Webb,userrano@example.org,India,0,43,37912.56,36607.91,261022.12,34699.54
Ann Howell,martinezrachel@example.org,United States,1,63,56803.14,6958.5,605629.97,82655.99
Amy Burke,qvargas@example.com,India,1,20,177131.18,1107.04,813843.86,153984.29
Paul Clark,chelsea46@example.org,Mexico,1,23,196120.7,35937.81,932347.48,168156.53
Jessica Johnson,ymatthews@example.com,India,0,44,57974.53,6809.63,558704.85,76121.76
Richard Wallace DDS,jordanstephen@example.org,Brazil,0,20,98487.75,43535.57,656558.6,97537.08
Antonio Sanchez,kkent@example.com,France,1,39,37679.39,26722.68,126840.14,25199.74
Crystal Andrews,benjamin87@example.com,Canada,0,46,117615.82,18396.75,733577.82,117509.65
Elizabeth Hawkins,kevin42@example.org,France,0,54,174841.17,11000.36,324204.35,102943.91
Jason Lawson,derrickfisher@example.com,Japan,1,43,35174.68,10297.84,325746.51,42761.31
Brandy Moore,isummers@example.net,Japan,0,62,168193.07,46342.4,529756.82,108383.94
Joshua Jones,jfrederick@example.com,Australia,1,24,39251.9,15244.68,241745.88,36982.65
David Kim,boydlee@example.com,Mexico,1,57,167386.74,33596.67,421313.14,105458.02
Alexis Phillips,oherman@example.org,Japan,1,18,155592.03,14514.33,730823.7,131832
Kelly Rogers,williamortiz@example.com,Germany,1,47,82763.84,26888.01,661917.78,98895.99
Samantha Ortiz,uescobar@example.net,United Kingdom,0,56,34685.64,20944.2,959417.96,105163.63
Kelsey Jackson,keith41@example.com,Japan,1,63,100853.68,12959.95,578620.93,91413.98
Angela Dixon,stephaniecox@example.com,United States,1,62,75482.37,6314.41,170758.52,42237.33
Jamie Moreno,theresaarellano@example.com,Australia,1,36,43636.87,38073.36,644244.79,69405.96
Kevin Murphy,oliversamantha@example.com,Japan,0,45,105506.33,42499.58,330839.11,62542.76
Joseph Taylor,eric87@example.net,United States,1,51,107716.16,35705.36,411482.98,81960.82
Tami Ramos,collinscynthia@example.net,Canada,0,58,31478.89,16080.52,232957.82,33607.49
Lisa Mccarthy,patrickbennett@example.org,Brazil,0,70,140543.83,44136.7,961772.89,139414.41
Valerie Harris,xwilson@example.com,Australia,0,24,35663.23,18068.04,355576.98,49164.61
Steven Cole,josephfisher@example.org,United Kingdom,0,53,86856.59,23455.99,88197.27,41940.75
